Industrial Risk,Management Risk,Financial Flexibility,Credibility,Competitiveness,Operating Risk,Class
P,A,P,N,P,N,1
P,A,A,P,P,N,1
P,P,A,P,P,P,1
P,A,P,A,P,P,1
P,P,A,A,P,N,1
A,A,A,A,A,P,1
P,P,A,P,P,N,1
A,P,N,P,A,P,1
A,P,A,P,A,P,1
P,A,N,A,P,A,1
A,P,N,P,A,P,1
P,A,A,A,P,A,1
A,P,A,P,A,P,1
A,P,P,P,P,P,1
P,A,A,N,P,P,1
A,P,A,A,A,P,1
A,N,N,N,P,P,1
N,P,N,P,P,A,1
P,N,A,N,A,P,1
N,N,P,P,P,A,1
A,A,A,P,P,A,1
A,A,A,P,P,P,1
P,A,A,P,P,P,1
A,N,N,P,P,A,1
A,A,N,P,P,P,1
P,A,P,N,P,N,1
P,P,P,A,P,N,1
P,A,P,N,P,N,1
P,A,A,P,P,N,1
P,P,A,P,P,P,1
P,A,P,A,P,P,1
P,P,A,A,P,N,1
A,A,A,A,A,P,1
P,P,A,P,P,N,1
A,P,N,P,A,P,1
P,A,A,A,P,A,1
A,P,A,P,A,P,1
A,P,N,P,A,P,1
A,P,A,P,A,P,1
P,P,A,A,A,P,1
N,N,A,A,A,N,1
A,A,A,A,A,A,1
P,P,P,P,P,P,1
N,N,P,P,P,N,1
A,A,P,P,P,A,1
P,P,A,P,P,P,1
P,P,P,A,A,P,1
P,P,A,P,A,P,1
P,P,A,A,P,P,1
P,P,P,P,A,P,1
P,P,P,A,P,P,1
N,N,A,P,P,N,1
N,N,P,A,A,N,1
N,N,A,P,A,N,1
N,N,A,P,A,N,1
N,N,A,A,P,N,1
N,N,P,P,A,N,1
N,N,P,A,P,N,1
A,A,A,P,P,A,1
A,A,P,A,A,A,1
A,A,A,P,A,A,1
A,A,A,A,P,A,1
A,A,P,P,A,A,1
A,A,P,A,P,A,1
P,N,A,A,A,P,1
N,P,A,A,A,N,1
P,N,A,A,A,N,1
P,N,P,P,P,P,1
N,P,P,P,P,N,1
P,N,P,P,P,N,1
N,N,A,P,P,P,1
P,N,P,A,A,P,1
N,P,A,P,A,P,1
N,P,A,A,P,N,1
A,N,N,N,N,A,0
P,N,N,N,N,N,0
N,P,N,N,N,N,0
A,P,N,A,N,N,0
N,N,N,N,N,N,0
N,N,N,A,N,A,0
N,N,N,N,N,P,0
N,N,N,N,N,A,0
N,N,N,A,N,P,0
N,N,N,A,N,N,0
N,N,A,N,N,N,0
P,N,N,N,N,N,0
A,N,N,N,N,N,0
N,N,N,N,N,N,0
P,N,N,N,A,A,0
A,N,N,N,N,A,0
A,N,N,N,N,A,0
A,A,N,N,N,P,0
A,N,N,N,N,N,0
P,A,N,N,N,A,0
P,N,N,N,N,P,0
P,A,N,N,N,N,0
P,N,N,N,N,N,0
N,A,N,N,N,P,0
N,N,N,N,N,A,0
A,A,N,N,N,N,0
A,A,N,N,N,N,0
P,P,N,N,N,N,0
A,P,N,N,N,N,0
P,A,N,N,N,N,0
A,N,N,N,N,N,0
N,N,N,N,N,N,0
N,A,N,N,N,N,0
P,N,N,N,N,N,0
N,P,N,N,N,N,0
A,P,N,A,N,N,0
N,N,N,P,N,P,0
N,N,N,N,N,N,0
N,N,N,A,N,A,0
N,N,N,P,N,N,0
N,N,N,N,N,P,0
N,N,N,N,N,A,0
N,N,N,A,N,P,0
N,N,N,A,N,N,0
N,N,A,N,N,N,0
P,N,N,N,N,N,0
A,N,N,N,N,N,0
N,N,N,N,N,N,0
P,N,N,N,A,A,0
P,N,N,N,A,A,0
A,N,N,N,N,A,0
N,N,N,N,N,A,0
N,P,N,N,N,N,0
A,P,N,A,N,N,0
N,N,N,N,N,N,0
N,N,N,A,N,A,0
N,N,N,P,N,N,0
N,N,N,N,N,P,0
N,N,N,N,N,A,0
N,N,N,A,N,P,0
P,N,N,N,N,P,0
P,A,N,N,N,N,0
P,N,N,N,N,N,0
N,A,N,N,N,P,0
N,N,N,N,N,A,0
A,A,N,N,N,N,0
A,A,N,N,N,N,0
N,N,N,A,N,N,0
N,N,A,N,N,N,0
P,N,N,N,N,N,0
A,N,N,N,N,N,0
N,N,N,N,N,N,0
N,A,P,A,N,P,0
P,N,N,N,N,N,0
N,A,N,N,N,P,0
N,N,N,N,N,A,0
A,A,N,N,N,N,0
A,A,N,N,N,P,0
A,N,N,N,N,N,0
P,A,N,N,N,A,0
P,N,N,N,N,P,0
P,A,N,N,N,N,0
P,N,N,N,N,N,0
N,A,N,N,N,P,0
N,N,N,N,N,A,0
A,A,N,N,N,N,0
A,A,N,N,N,N,0
A,P,N,N,N,N,0
P,A,N,N,N,N,0
A,N,N,N,N,N,0
N,N,N,N,N,N,0
N,A,N,N,N,N,0
A,N,N,N,N,A,0
P,N,N,N,N,N,0
N,P,N,N,N,N,0
A,P,N,A,N,N,0
N,N,N,N,N,N,0
N,N,N,A,N,A,0
N,N,N,N,N,P,0
N,N,N,N,N,A,0
N,N,N,A,N,P,0
N,N,N,A,N,N,0
N,N,A,N,N,N,0
P,N,N,N,N,N,0
A,N,N,N,N,N,0
N,N,N,N,N,N,0
P,N,N,N,A,A,0
